Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.9998727708390763,0.9997775800711743,1.0,0.9998887776665555,0.9999999779613244
Linear SVM,0.9999151805593842,0.9998517090531623,1.0,0.9999258490286222,0.9999999908172185
Random Forest,1.0,1.0,1.0,1.0,1.0
